rank,title,director,release_date,movie_type,format_type,nation,screens_total,sales_total_krw,audience_total,sales_seoul_krw,audience_seoul,genre,rating,film_class,seoul_ratio,release_year,nation_enc,rating_enc,genre_enc
70,mister,Lee Jeong-beom,2010-08-04,Theatrical Release,Feature,KR,478,47870792359,6282774,14820865000.0,1863328,Action,18+,Commercial,0.2965772762158881,2010,36,2,0
71,apostle,Lee Jun-ik,2015-09-16,Theatrical Release,Feature,KR,1210,48842902501,6246849,12987928301.0,1606486,Other,12+,Commercial,0.2571674135232019,2015,36,0,4
72,Mission Impossible - Rogue Nation,Christopher McQuarrie,2015-07-30,Theatrical Release,Feature,US,1202,48547353607,6126488,13751315607.0,1669524,Action,15+,Commercial,0.27250914390104086,2015,63,1,0
73,Kingsman: The Secret Service,Matthew Bourne,2015-02-11,Theatrical Release,Feature,US,706,50333635795,6125154,16707645195.0,1968882,Action,18+,Commercial,0.32144204047767616,2015,63,2,0
74,Battle of Yeonpyeong,Kim Hak-sun,2015-06-24,Theatrical Release,Feature,KR,1013,45560620330,6043458,9906059630.0,1265879,Romance,12+,Commercial,0.2094626950332078,2015,36,0,5
75,Inception,Christopher Nolan,2010-07-21,Theatrical Release,Feature,US,528,44106546302,5926948,15810485000.0,2026998,Romance,12+,Commercial,0.3419969265800881,2010,63,0,5
76,Les Miserables,Tom Hooper,2012-12-19,Theatrical Release,Feature,US,696,43044999000,5911890,16482217500.0,2190090,Romance,12+,Commercial,0.3704551336374662,2012,63,0,5
77,Doctor Strange: The Multiverse of Chaos,Sam Raimi,2022-05-04,Theatrical Release,Feature,US,2691,62648728870,5884587,18021250750.0,1610656,Action,12+,Commercial,0.27370756860252043,2022,63,0,0
78,Captain Marvel,"Anna Boden, Ryan Fleck",2019-03-06,Theatrical Release,Feature,US,2100,51491272223,5801069,15433909683.0,1650932,Action,12+,Commercial,0.28459099521139986,2019,63,0,0
79,Jurassic World: Fallen Kingdom,Juan Antonio Bayona,2018-06-06,Theatrical Release,Feature,US,1972,49770711037,5661128,12526470537.0,1342621,Action,12+,Commercial,0.23716492543535495,2018,63,0,0
80,Youth Police,Kim Joo-hwan,2017-08-09,Theatrical Release,Feature,KR,1102,44241099316,5636259,9885607016.0,1207318,Action,15+,Commercial,0.21420555726768412,2017,36,1,0
81,Hide and seek,Heo Jeong,2013-08-14,Theatrical Release,Feature,KR,779,39593038500,5602543,10079982000.0,1356936,Action,15+,Commercial,0.24220001524307802,2013,36,1,0
82,Princess Deokhye,Heo Jin-ho,2016-08-03,Theatrical Release,Feature,KR,964,44344141109,5593551,10625578869.0,1304324,Other,12+,Commercial,0.2331835358254533,2016,36,0,4
83,The Terror Live,Kim Byung-woo,2013-07-31,Theatrical Release,Feature,KR,743,39866712881,5583596,11349884881.0,1525130,Other,15+,Commercial,0.27314476190612647,2013,36,1,4
84,Suzume's door lock,Makoto Shinkai,2023-03-08,Theatrical Release,Feature,JP,1486,56800548472,5553332,14272074503.0,1352438,Animation,12+,Art film,0.24353631297390468,2023,35,0,2
85,Jurassic World,Colin Trevorrow,2015-06-11,Theatrical Release,Feature,US,1290,47800698826,5546792,13625824326.0,1502391,Action,12+,Commercial,0.270857641678289,2015,63,0,0
86,Brother in law,Jang Hoon,2010-02-04,Theatrical Release,Feature,KR,572,40800867602,5507106,12204373500.0,1563042,Romance,15+,Commercial,0.28382275554529,2010,36,1,5
87,The Watchers,"Jo Ui-seok, Kim Byeong-seo",2013-07-03,Theatrical Release,Feature,KR,949,39298005179,5496547,11031549179.0,1477594,Other,15+,Commercial,0.2688222260266309,2013,36,1,4
88,Ant-Man and the Wasp,Peyton Reed,2018-07-04,Theatrical Release,Feature,US,1775,47465443185,5447826,13821594585.0,1503229,Action,12+,Commercial,0.27593190384568084,2018,63,0,0
89,Doctor Strange,Scott Derrickson,2016-10-26,Theatrical Release,Feature,US,1503,47482530396,5446379,15365072146.0,1657823,Action,12+,Commercial,0.3043899442179841,2016,63,0,0
90,Black Priests,Jang Jae-hyun,2015-11-05,Theatrical Release,Feature,KR,1088,42395347092,5440945,11618059792.0,1428491,Other,15+,Commercial,0.26254464987240267,2015,36,1,4
91,Ansi Castle,Kim Kwang-sik,2018-09-19,Theatrical Release,Feature,KR,1540,46335334026,5440186,10028662426.0,1146191,Other,12+,Commercial,0.210689671272269,2018,36,0,4
92,Black Panther,Ryan Coogler,2018-02-14,Theatrical Release,Feature,US,1620,45883143457,5398994,13105688057.0,1468761,Action,12+,Commercial,0.2720434584665217,2018,63,0,0
93,The King,Han Jae-rim,2017-01-18,Theatrical Release,Feature,KR,1310,43486078535,5316325,11144618435.0,1318493,Other,15+,Commercial,0.24800835163388243,2017,36,1,4
94,Wandeuk,Lee Han,2011-10-20,Theatrical Release,Feature,KR,500,38530503500,5310510,11657798500.0,1525277,Romance,12+,Commercial,0.287218553396943,2011,36,0,5
95,Transformers: Age of Extinction,Michael Bay,2014-06-25,Theatrical Release,Feature,US,1602,44012272845,5295801,11664376045.0,1323527,Action,12+,Commercial,0.24992007819024922,2014,63,0,0
96,Perfect stranger,Lee Jae-gyu,2018-10-31,Theatrical Release,Feature,KR,1313,44356752474,5294119,11870044374.0,1373292,Romance,15+,Commercial,0.25939953370900803,2018,36,1,5
97,joker,Todd Phillips,2019-10-02,Theatrical Release,Feature,US,1418,45442252130,5255228,14704552340.0,1638904,Action,15+,Commercial,0.3118616356892603,2019,63,1,0
98,World War Z,Mark Foster,2013-06-20,Theatrical Release,Feature,US,964,38555357000,5237525,12048296500.0,1562677,Romance,15+,Commercial,0.298361726197011,2013,63,1,5
99,Tower,Kim Ji-hoon,2012-12-25,Theatrical Release,Feature,KR,617,37654858000,5181014,9052298500.0,1186378,Romance,12+,Commercial,0.22898567732108038,2012,36,0,5
100,Smuggling,Ryu Seung-wan,2023-07-26,Theatrical Release,Feature,KR,1932,49685009003,5143219,10715377316.0,1082269,Action,15+,Commercial,0.21042638860993476,2023,36,1,0
101,Beauty and the Beast,Bill Condon,2017-03-16,Theatrical Release,Feature,US,1627,42130589579,5137993,13177630229.0,1531839,Romance,All Ages,Commercial,0.2981395653906107,2017,63,3,5
102,Monopoly,Lee Hae-young,2018-05-22,Theatrical Release,Feature,KR,1357,43484892913,5063620,10658158413.0,1201461,Other,15+,Commercial,0.2372731366097772,2018,36,1,4
103,Kung Fu Panda 2,Yeo In-yeong,2011-05-26,Theatrical Release,Feature,US,948,44298724500,5062722,14917759000.0,1575363,Animation,All Ages,Commercial,0.31116916947049433,2011,63,3,2
104,Aquaman,James Wan,2018-12-19,Theatrical Release,Feature,US,1285,44113456704,5038134,11897439184.0,1294275,Action,12+,Commercial,0.25689570781563176,2018,63,0,0
105,peacock,Yoon Jong-bin,2018-08-08,Theatrical Release,Feature,KR,1317,42759410176,4971261,10296507676.0,1158151,Romance,12+,Commercial,0.23296926071674773,2018,36,0,5
106,Inside Out,Pete Doctor,2015-07-09,Theatrical Release,Feature,US,777,38015586936,4968687,12814825236.0,1594626,Animation,All Ages,Commercial,0.3209350880826263,2015,63,3,2
107,Kingsman: The Golden Circle,Matthew Bourne,2017-09-27,Theatrical Release,Feature,US,1687,40987484736,4945484,12306638886.0,1419759,Action,18+,Commercial,0.2870819114974389,2017,63,2,0
108,Harbin,Woo Min-ho,2024-12-24,Theatrical Release,Feature,KR,2125,46956641880,4911814,11598151920.0,1162817,Romance,15+,Commercial,0.23673880973505917,2024,36,1,5
109,The First Slam Dunk,Takehiko Inoue,2023-01-04,Theatrical Release,Feature,JP,1023,51249971605,4897590,17392458420.0,1613819,Animation,12+,Commercial,0.3295128828668794,2023,35,0,2
110,Gone with the wind,Kim Joo-ho,2012-08-08,Theatrical Release,Feature,KR,694,34524377161,4897551,8302901161.0,1122802,Comedy,12+,Commercial,0.22925784744252792,2012,36,0,3
111,Mars,Ridley Scott,2015-10-08,Theatrical Release,Feature,US,1132,39612764295,4875494,12914889095.0,1509471,Action,12+,Commercial,0.3096037037477638,2015,63,0,0
112,Thor: Ragnarok,Taika Waititi,2017-10-25,Theatrical Release,Feature,US,1640,39248432595,4857152,12088848195.0,1419464,Action,12+,Commercial,0.2922420381326341,2017,63,0,0
113,The Amazing Spider-Man,Mark Webb,2012-06-28,Theatrical Release,Feature,US,1118,41163951235,4853123,13100185524.0,1446116,Action,12+,Commercial,0.29797637521241477,2012,63,0,0
114,"My dear, don't cross that river.",Jin Mo-young,2014-11-27,Theatrical Release,Feature,KR,206,37354452679,4801355,9129018879.0,1140795,Other,All Ages,Art film,0.23759855290850188,2014,36,3,4
115,Detective K: The Secret of the Gaksi Helmet Flower,Kim Seok-yoon,2011-01-27,Theatrical Release,Feature,KR,611,35841769500,4786259,10712744000.0,1363857,Comedy,12+,Commercial,0.2849526112147295,2011,36,0,3
116,Battle of Bongodong,Won Shin Yeon,2019-08-07,Theatrical Release,Feature,KR,1476,40514276538,4779501,7782799628.0,891383,Other,15+,Commercial,0.1865012686470826,2019,36,1,4
117,Archipelago: Age of Rebellion,Yoon Jong-bin,2014-07-23,Theatrical Release,Feature,KR,1394,36987755999,4774895,9976707399.0,1239945,Other,15+,Commercial,0.25968005579180276,2014,36,1,4
118,The Chiefs of Namsan,Woo Min-ho,2020-01-22,Theatrical Release,Feature,KR,1659,41223596650,4750104,9851448590.0,1113402,Romance,15+,Commercial,0.23439528902946125,2020,36,1,5
119,The Lion King,Jon Favreau,2019-07-17,Theatrical Release,Feature,US,1936,41518977430,4743184,11620751790.0,1218042,Other,All Ages,Commercial,0.25679838690634815,2019,63,3,4
120,Pilot,Kim Han-gyeol,2024-07-31,Theatrical Release,Feature,KR,1956,43204079201,4718036,9238563114.0,980597,Comedy,12+,Commercial,0.2078400843062664,2024,36,0,3
121,War on Crime: The Golden Age of the Bad Guys,Yoon Jong-bin,2012-02-02,Theatrical Release,Feature,KR,699,36479147500,4710454,11716858500.0,1451900,Other,18+,Commercial,0.30822931292822303,2012,36,2,4
122,Zootopia,"Byron Howard, Rich Moore",2016-02-17,Theatrical Release,Feature,US,661,37077444042,4703245,12142771642.0,1465960,Animation,All Ages,Commercial,0.3116911834276122,2016,63,3,2
123,Edge of Tomorrow,Doug Lyman,2014-06-04,Theatrical Release,Feature,US,801,38703942201,4697142,12201872401.0,1401887,Action,12+,Commercial,0.2984553160198265,2014,63,0,0
124,New World,Park Hoon-jung,2013-02-21,Theatrical Release,Feature,KR,671,34881330905,4682492,11114978905.0,1435648,Other,18+,Commercial,0.3065991356739104,2013,36,2,4
125,Fantastic Beasts and Where to Find Them,David Yates,2016-11-16,Theatrical Release,Feature,US,1431,39337263058,4666993,12640487458.0,1425528,Other,12+,Commercial,0.3054489261072386,2016,63,0,4
126,crucible,Hwang Dong-hyeok,2011-09-22,Theatrical Release,Feature,KR,644,35566854800,4662822,10141606500.0,1267508,Romance,18+,Commercial,0.2718328085438389,2011,36,2,5
127,All About My Wife,Min Kyu-dong,2012-05-17,Theatrical Release,Feature,KR,563,34222160500,4598583,11547286500.0,1475165,Comedy,15+,Commercial,0.3207868597783274,2012,36,1,3
128,Bad Guys: The Movie,Son Yong-ho,2019-09-11,Theatrical Release,Feature,KR,1511,39560195124,4573902,8008441184.0,905239,Other,15+,Commercial,0.19791394743481605,2019,36,1,4
129,Noryang: Sea of ​​Death,Kim Han-min,2023-12-20,Theatrical Release,Feature,KR,2196,45008253375,4573398,9861139267.0,970454,Other,12+,Commercial,0.2121953960709302,2023,36,0,4
130,Pandora,Park Jeong-woo,2016-12-07,Theatrical Release,Feature,KR,1166,35965733064,4571142,7213559964.0,880999,Romance,12+,Commercial,0.1927306130503056,2016,36,0,5
131,Love song,Park Jeong-woo,2012-07-05,Theatrical Release,Feature,KR,759,32154766664,4513026,7819583000.0,1040068,Other,15+,Commercial,0.23045911988984774,2012,36,1,4
132,iron man 2,Jon Favreau,2010-04-29,Theatrical Release,Feature,US,757,33161943100,4498335,10697867500.0,1370291,Other,12+,Commercial,0.3046218211849495,2010,63,0,4
133,Steel Rain,Yang Woo-seok,2017-12-14,Theatrical Release,Feature,KR,1426,35477912466,4451336,8694723516.0,1060541,Action,15+,Commercial,0.23825229099757916,2017,36,1,0
134,Harry Potter and the Deathly Hallows Part 2,David Yates,2011-07-13,Theatrical Release,Feature,US,757,34507819000,4400298,11183806000.0,1361311,Other,All Ages,Commercial,0.30936791099148286,2011,63,3,4
135,But save us from evil.,Hong Won-chan,2020-08-05,Theatrical Release,Feature,KR,1998,38554527990,4352669,8906277620.0,984042,Other,15+,Commercial,0.22607783867783193,2020,36,1,4
136,Hunt,Lee Jung Jae,2022-08-10,Theatrical Release,Feature,KR,1625,44573032153,4350029,10985286495.0,1052205,Action,15+,Commercial,0.24188459433258952,2022,36,1,0
137,X-Men: Days of Future Past,Bryan Singer,2014-05-22,Theatrical Release,Feature,US,1056,34654558766,4313871,11315080666.0,1345720,Action,12+,Commercial,0.3119518409335838,2014,63,0,0
138,miss,Park Chan-wook,2016-06-01,Theatrical Release,Feature,KR,1171,35114332791,4277071,10881501871.0,1283972,Action,18+,Commercial,0.30019889779711395,2016,36,2,0
139,Guardians of the Galaxy: Volume 3,James Gunn,2023-05-03,Theatrical Release,Feature,US,1819,44355754061,4208993,13547092538.0,1235431,Action,12+,Commercial,0.2935217521150546,2023,63,0,0
140,The Amazing Spider-Man 2,Mark Webb,2014-04-23,Theatrical Release,Feature,US,1312,34869056800,4168350,10562832700.0,1187974,Action,12+,Commercial,0.28499862055729486,2014,63,0,0
141,suspect,Won Shin Yeon,2013-12-24,Theatrical Release,Feature,KR,807,30037161000,4131248,7563772000.0,997760,Action,15+,Commercial,0.2415153968001921,2013,36,1,0
142,Introduction to Architecture,Lee Yong-ju,2012-03-22,Theatrical Release,Feature,KR,593,30219800500,4110645,11003948000.0,1431173,Romance,12+,Commercial,0.34816263627727523,2012,36,0,5
143,Dancing Queen,Lee Seok-hoon,2012-01-18,Theatrical Release,Feature,KR,534,30129259500,4057546,8223006000.0,1055086,Comedy,12+,Commercial,0.26003057020179193,2012,36,0,3
144,Mission Impossible: Dead Reckoning PART ONE,Christopher McQuarrie,2023-07-12,Theatrical Release,Feature,US,2437,40426400113,4021778,11155001710.0,1067176,Action,15+,Commercial,0.26534930570508863,2023,63,1,0
145,The conman,Jang Chang-won,2017-11-22,Theatrical Release,Feature,KR,1314,31313568795,4018341,7524464445.0,931901,Other,15+,Commercial,0.23191187607024888,2017,36,1,4
146,Planet of the Apes: Prelude to Counterattack,Matt Reeves,2014-07-10,Theatrical Release,Feature,US,922,31509793095,4002134,9067860195.0,1095630,Action,12+,Commercial,0.2737614482673494,2014,63,0,0
147,Tazza - Hand of God,Kang Hyung-cheol,2014-09-03,Theatrical Release,Feature,KR,890,32267244827,4001813,8495857527.0,1016403,Romance,18+,Commercial,0.25398563101274346,2014,36,2,5
