rank,title,director,release_date,movie_type,format_type,nation,screens_total,sales_total_krw,audience_total,sales_seoul_krw,audience_seoul,genre,rating,film_class
23,Crime City 3,Lee Sangyong,2023-05-31,Theatrical Release,Feature,KR,2582,104687737771,10682813,22152818269,2215433,Crime,15+,Commercial
24,Avengers: Age of Ultron,Joss Whedon,2015-04-23,Theatrical Release,Feature,US,1843,88582586366,10494499,25001906266,2823388,Action,12+,Commercial
25,helminth,Bong Joon-ho,2019-05-30,Theatrical Release,Feature,KR,1948,87459829095,10313086,24128560195,2790209,Drama,15+,Commercial
26,Frozen,"Chris Buck, Jennifer Lee",2014-01-16,Theatrical Release,Feature,US,1010,82461504400,10296101,25847243500,3003446,Animation,All Ages,Commercial
27,Interstellar,Christopher Nolan,2014-11-06,Theatrical Release,Feature,US,1342,82274331200,10273803,25500349600,3079036,Sci-Fi,12+,Commercial
28,Bohemian Rhapsody,Bryan Singer,2018-10-31,Theatrical Release,Feature,US,936,86280975785,9948386,27849793695,3097336,Drama,12+,Commercial
29,Inspector's Note,Lee Il-hyung,2016-02-03,Theatrical Release,Feature,KR,1812,77252755264,9699092,18302525664,2219587,Crime,15+,Commercial
30,Exit,Lee Sang-geun,2019-07-31,Theatrical Release,Feature,KR,1660,79232212162,9426051,18533549352,2132869,Comedy,12+,Commercial
31,Physiognomy,Han Jae-rim,2013-09-11,Theatrical Release,Feature,KR,1190,66005451500,9134586,19311179000,2561744,Historical,15+,Commercial
32,iron man 3,Shane Black,2013-04-25,Theatrical Release,Feature,US,1381,70806191000,9001309,21668935500,2595269,Action,12+,Commercial
33,snowpiercer,Bong Joon-ho,2013-08-01,Theatrical Release,Feature,KR,1128,64016480000,8914845,18975866000,2550437,Sci-Fi,15+,Commercial
34,Inside Out 2,Kelsey Mann,2024-06-12,Theatrical Release,Feature,US,2619,84509284036,8799013,22334734771,2218355,Animation,All Ages,Commercial
35,Captain America: Civil War,"Anthony Russo, Joe Russo",2016-04-27,Theatrical Release,Feature,US,1991,72672111827,8677249,21248121149,2400069,Action,12+,Commercial
36,Suspicious Her,Hwang Dong-hyeok,2014-01-22,Theatrical Release,Feature,KR,692,62696639249,8656397,15358810049,2042110,Drama,15+,Commercial
37,Pirate: A bandit who goes to sea,Lee Seok-hoon,2014-08-06,Theatrical Release,Feature,KR,838,66240631706,8646758,14906345006,1868694,Adventure,12+,Commercial
39,Baekdu Mountain,"Lee Hae-jun, Kim Byeong-seo",2019-12-19,Theatrical Release,Feature,KR,1971,69825366300,8252669,15055877210,1724785,Adventure,12+,Commercial
40,Top Gun: Maverick,Joseph Kosinski,2022-06-22,Theatrical Release,Feature,US,1975,87855360975,8177446,25925045991,2309600,Action,12+,Commercial
41,Spider-Man: Far From Home,John Watts,2019-07-02,Theatrical Release,Feature,US,2142,69000711100,8020208,18515112400,2051196,Action,12+,Commercial
42,Cooperation,Kim Seong-hoon,2017-01-18,Theatrical Release,Feature,KR,976,63781731326,7817446,14672808676,1744624,Action,15+,Commercial
43,Transformers 3,Michael Bay,2011-06-29,Theatrical Release,Feature,US,1409,74841350500,7784807,21746223000,2143018,Action,12+,Commercial
44,Himalayas,Lee Seok-hoon,2015-12-16,Theatrical Release,Feature,KR,1009,60173583015,7759473,13920553930,1738016,Drama,12+,Commercial
45,Mission Impossible: Ghost Protocol,brad bird,2011-12-15,Theatrical Release,Feature,US,1038,57795846000,7575899,18719283500,2347164,Action,15+,Commercial
46,Spider-Man: No Way Home,John Watts,2021-12-15,Theatrical Release,Feature,US,2948,75193912210,7551990,21054819760,2041418,Action,12+,Commercial
47,Veteran 2,Ryu Seung-wan,2024-09-13,Theatrical Release,Feature,KR,2691,72474035814,7525339,14954292776,1489640,Action,15+,Commercial
48,emissary,Kim Ji-woon,2016-09-07,Theatrical Release,Feature,KR,1444,61158644831,7487545,15436298021,1827424,Action,15+,Commercial
49,"The ultimate weapon, the bow",Kim Han-min,2011-08-10,Theatrical Release,Feature,KR,615,55808856500,7466976,16139541000,2059847,Historical,15+,Commercial
50,Sunny,Kang Hyung-cheol,2011-05-04,Theatrical Release,Feature,KR,472,53773170600,7328820,15401904600,2004824,Drama,15+,Commercial
51,Hansan: The Appearance of the Dragon,Kim Han-min,2022-07-27,Theatrical Release,Feature,KR,2223,73700628377,7264934,15974849913,1513672,Action,12+,Commercial
52,Spider-Man: Homecoming,John Watts,2017-07-05,Theatrical Release,Feature,US,1965,59120173820,7257973,16753103620,1969107,Action,12+,Commercial
53,Elemental,Peter Son,2023-06-14,Theatrical Release,Feature,US,1251,71129945066,7239288,19102254019,1883280,Animation,All Ages,Commercial
54,1987,Jang Jun-hwan,2017-12-27,Theatrical Release,Feature,KR,1299,58165581145,7231638,14638920495,1776877,Drama,15+,Commercial
55,Berlin,Ryu Seung-wan,2013-01-30,Theatrical Release,Feature,KR,894,52354931637,7166199,16070379637,2118794,Action,15+,Commercial
56,Master,Jo Ui-seok,2016-12-21,Theatrical Release,Feature,KR,1501,58067927865,7150541,14520299965,1731940,Action,15+,Commercial
57,tunnel,Kim Seong-hoon,2016-08-10,Theatrical Release,Feature,KR,1105,57510324417,7118592,14121558017,1675010,Drama,12+,Commercial
58,Avengers,Joss Whedon,2012-04-26,Theatrical Release,Feature,US,967,59557853478,7074867,19280107897,2147619,Action,12+,Commercial
59,Insiders,Woo Min-ho,2015-11-19,Theatrical Release,Feature,KR,1075,56596582057,7071763,16340245357,1972885,Crime,18+,Commercial
60,Incheon Landing Operation,Lee Jae-han,2016-07-27,Theatrical Release,Feature,KR,1049,55101410303,7049643,11459996563,1427944,War,12+,Commercial
61,Cooperation 2: International,Lee Seok-hoon,2022-09-07,Theatrical Release,Feature,KR,2389,70884583586,6979319,15028120901,1444987,Action,15+,Commercial
62,Lucky,The other world wall,2016-10-13,Theatrical Release,Feature,KR,1158,56361435256,6965706,13812629836,1640015,Comedy,15+,Commercial
63,Secretly and Greatly,Jang Cheol-su,2013-06-05,Theatrical Release,Feature,KR,1341,48663939413,6953800,12415574413,1691014,Action,15+,Commercial
64,Gokseong,Na Hong-jin,2016-05-12,Theatrical Release,Feature,KR,1485,55853108382,6878264,15445041342,1829923,Mystery,15+,Commercial
65,Crime City,Kang Yoon-seong,2017-10-03,Theatrical Release,Feature,KR,1315,56077813249,6851297,14046905449,1670254,Crime,18+,Commercial
66,wolf boy,Jo Seong-hee,2012-10-31,Theatrical Release,Feature,KR,706,46593107500,6654837,12336313500,1677173,Romance,15+,Commercial
67,Battleship Island,Ryu Seung-wan,2017-07-26,Theatrical Release,Feature,KR,2027,50510565168,6592151,11091878868,1398649,Action,15+,Commercial
68,Mission Impossible: Fallout,Christopher McQuarrie,2018-07-25,Theatrical Release,Feature,US,1957,55888375112,6584915,14891043562,1686255,Action,15+,Commercial
69,The Dark Knight Rises,Christopher Nolan,2012-07-19,Theatrical Release,Feature,US,1210,47644838000,6396528,16258149500,2057529,Action,15+,Commercial
70,mister,Lee Jeong-beom,2010-08-04,Theatrical Release,Feature,KR,478,47870792359,6282774,14820865000,1863328,Action,18+,Commercial
71,apostle,Lee Jun-ik,2015-09-16,Theatrical Release,Feature,KR,1210,48842902501,6246849,12987928301,1606486,Historical,12+,Commercial
72,Mission Impossible - Rogue Nation,Christopher McQuarrie,2015-07-30,Theatrical Release,Feature,US,1202,48547353607,6126488,13751315607,1669524,Action,15+,Commercial
73,Kingsman: The Secret Service,Matthew Bourne,2015-02-11,Theatrical Release,Feature,US,706,50333635795,6125154,16707645195,1968882,Action,18+,Commercial
74,Battle of Yeonpyeong,Kim Hak-sun,2015-06-24,Theatrical Release,Feature,KR,1013,45560620330,6043458,9906059630,1265879,Drama,12+,Commercial
75,Inception,Christopher Nolan,2010-07-21,Theatrical Release,Feature,US,528,44106546302,5926948,15810485000,2026998,Drama,12+,Commercial
76,Les Miserables,Tom Hooper,2012-12-19,Theatrical Release,Feature,US,696,43044999000,5911890,16482217500,2190090,Drama,12+,Commercial
77,Doctor Strange: The Multiverse of Chaos,Sam Raimi,2022-05-04,Theatrical Release,Feature,US,2691,62648728870,5884587,18021250750,1610656,Action,12+,Commercial
78,Captain Marvel,"Anna Boden, Ryan Fleck",2019-03-06,Theatrical Release,Feature,US,2100,51491272223,5801069,15433909683,1650932,Action,12+,Commercial
79,Jurassic World: Fallen Kingdom,Juan Antonio Bayona,2018-06-06,Theatrical Release,Feature,US,1972,49770711037,5661128,12526470537,1342621,Action,12+,Commercial
80,Youth Police,Kim Joo-hwan,2017-08-09,Theatrical Release,Feature,KR,1102,44241099316,5636259,9885607016,1207318,Action,15+,Commercial
81,Hide and seek,Heo Jeong,2013-08-14,Theatrical Release,Feature,KR,779,39593038500,5602543,10079982000,1356936,Thriller,15+,Commercial
82,Princess Deokhye,Heo Jin-ho,2016-08-03,Theatrical Release,Feature,KR,964,44344141109,5593551,10625578869,1304324,Historical,12+,Commercial
83,The Terror Live,Kim Byung-woo,2013-07-31,Theatrical Release,Feature,KR,743,39866712881,5583596,11349884881,1525130,Crime,15+,Commercial
84,Suzume's door lock,Makoto Shinkai,2023-03-08,Theatrical Release,Feature,JP,1486,56800548472,5553332,14272074503,1352438,Animation,12+,Art film
85,Jurassic World,Colin Trevorrow,2015-06-11,Theatrical Release,Feature,US,1290,47800698826,5546792,13625824326,1502391,Action,12+,Commercial
86,Brother in law,Jang Hoon,2010-02-04,Theatrical Release,Feature,KR,572,40800867602,5507106,12204373500,1563042,Drama,15+,Commercial
87,The Watchers,"Jo Ui-seok, Kim Byeong-seo",2013-07-03,Theatrical Release,Feature,KR,949,39298005179,5496547,11031549179,1477594,Crime,15+,Commercial
88,Ant-Man and the Wasp,Peyton Reed,2018-07-04,Theatrical Release,Feature,US,1775,47465443185,5447826,13821594585,1503229,Action,12+,Commercial
89,Doctor Strange,Scott Derrickson,2016-10-26,Theatrical Release,Feature,US,1503,47482530396,5446379,15365072146,1657823,Action,12+,Commercial
90,Black Priests,Jang Jae-hyun,2015-11-05,Theatrical Release,Feature,KR,1088,42395347092,5440945,11618059792,1428491,Mystery,15+,Commercial
91,Ansi Castle,Kim Kwang-sik,2018-09-19,Theatrical Release,Feature,KR,1540,46335334026,5440186,10028662426,1146191,Historical,12+,Commercial
92,Black Panther,Ryan Coogler,2018-02-14,Theatrical Release,Feature,US,1620,45883143457,5398994,13105688057,1468761,Action,12+,Commercial
93,The King,Han Jae-rim,2017-01-18,Theatrical Release,Feature,KR,1310,43486078535,5316325,11144618435,1318493,Crime,15+,Commercial
94,Wandeuk,Lee Han,2011-10-20,Theatrical Release,Feature,KR,500,38530503500,5310510,11657798500,1525277,Drama,12+,Commercial
95,Transformers: Age of Extinction,Michael Bay,2014-06-25,Theatrical Release,Feature,US,1602,44012272845,5295801,11664376045,1323527,Action,12+,Commercial
96,Perfect stranger,Lee Jae-gyu,2018-10-31,Theatrical Release,Feature,KR,1313,44356752474,5294119,11870044374,1373292,Drama,15+,Commercial
97,joker,Todd Phillips,2019-10-02,Theatrical Release,Feature,US,1418,45442252130,5255228,14704552340,1638904,Action,15+,Commercial
98,World War Z,Mark Foster,2013-06-20,Theatrical Release,Feature,US,964,38555357000,5237525,12048296500,1562677,Drama,15+,Commercial
99,Tower,Kim Ji-hoon,2012-12-25,Theatrical Release,Feature,KR,617,37654858000,5181014,9052298500,1186378,Drama,12+,Commercial
100,Smuggling,Ryu Seung-wan,2023-07-26,Theatrical Release,Feature,KR,1932,49685009003,5143219,10715377316,1082269,Action,15+,Commercial
101,Beauty and the Beast,Bill Condon,2017-03-16,Theatrical Release,Feature,US,1627,42130589579,5137993,13177630229,1531839,Romance,All Ages,Commercial
102,Monopoly,Lee Hae-young,2018-05-22,Theatrical Release,Feature,KR,1357,43484892913,5063620,10658158413,1201461,Crime,15+,Commercial
103,Kung Fu Panda 2,Yeo In-yeong,2011-05-26,Theatrical Release,Feature,US,948,44298724500,5062722,14917759000,1575363,Animation,All Ages,Commercial
104,Aquaman,James Wan,2018-12-19,Theatrical Release,Feature,US,1285,44113456704,5038134,11897439184,1294275,Action,12+,Commercial
105,peacock,Yoon Jong-bin,2018-08-08,Theatrical Release,Feature,KR,1317,42759410176,4971261,10296507676,1158151,Drama,12+,Commercial
106,Inside Out,Pete Doctor,2015-07-09,Theatrical Release,Feature,US,777,38015586936,4968687,12814825236,1594626,Animation,All Ages,Commercial
107,Kingsman: The Golden Circle,Matthew Bourne,2017-09-27,Theatrical Release,Feature,US,1687,40987484736,4945484,12306638886,1419759,Action,18+,Commercial
108,Harbin,Woo Min-ho,2024-12-24,Theatrical Release,Feature,KR,2125,46956641880,4911814,11598151920,1162817,Drama,15+,Commercial
109,The First Slam Dunk,Takehiko Inoue,2023-01-04,Theatrical Release,Feature,JP,1023,51249971605,4897590,17392458420,1613819,Animation,12+,Commercial
110,Gone with the wind,Kim Joo-ho,2012-08-08,Theatrical Release,Feature,KR,694,34524377161,4897551,8302901161,1122802,Comedy,12+,Commercial
111,Mars,Ridley Scott,2015-10-08,Theatrical Release,Feature,US,1132,39612764295,4875494,12914889095,1509471,Action,12+,Commercial
112,Thor: Ragnarok,Taika Waititi,2017-10-25,Theatrical Release,Feature,US,1640,39248432595,4857152,12088848195,1419464,Action,12+,Commercial
113,The Amazing Spider-Man,Mark Webb,2012-06-28,Theatrical Release,Feature,US,1118,41163951235,4853123,13100185524,1446116,Action,12+,Commercial
114,"My dear, don't cross that river.",Jin Mo-young,2014-11-27,Theatrical Release,Feature,KR,206,37354452679,4801355,9129018879,1140795,Documentary,All Ages,Art film
115,Detective K: The Secret of the Gaksi Helmet Flower,Kim Seok-yoon,2011-01-27,Theatrical Release,Feature,KR,611,35841769500,4786259,10712744000,1363857,Comedy,12+,Commercial
116,Battle of Bongodong,Won Shin Yeon,2019-08-07,Theatrical Release,Feature,KR,1476,40514276538,4779501,7782799628,891383,Historical,15+,Commercial
117,Archipelago: Age of Rebellion,Yoon Jong-bin,2014-07-23,Theatrical Release,Feature,KR,1394,36987755999,4774895,9976707399,1239945,Historical,15+,Commercial
118,The Chiefs of Namsan,Woo Min-ho,2020-01-22,Theatrical Release,Feature,KR,1659,41223596650,4750104,9851448590,1113402,Drama,15+,Commercial
119,The Lion King,Jon Favreau,2019-07-17,Theatrical Release,Feature,US,1936,41518977430,4743184,11620751790,1218042,Adventure,All Ages,Commercial
120,Pilot,Kim Han-gyeol,2024-07-31,Theatrical Release,Feature,KR,1956,43204079201,4718036,9238563114,980597,Comedy,12+,Commercial
121,War on Crime: The Golden Age of the Bad Guys,Yoon Jong-bin,2012-02-02,Theatrical Release,Feature,KR,699,36479147500,4710454,11716858500,1451900,Crime,18+,Commercial
122,Zootopia,"Byron Howard, Rich Moore",2016-02-17,Theatrical Release,Feature,US,661,37077444042,4703245,12142771642,1465960,Animation,All Ages,Commercial
123,Edge of Tomorrow,Doug Lyman,2014-06-04,Theatrical Release,Feature,US,801,38703942201,4697142,12201872401,1401887,Action,12+,Commercial
124,New World,Park Hoon-jung,2013-02-21,Theatrical Release,Feature,KR,671,34881330905,4682492,11114978905,1435648,Crime,18+,Commercial
125,Fantastic Beasts and Where to Find Them,David Yates,2016-11-16,Theatrical Release,Feature,US,1431,39337263058,4666993,12640487458,1425528,Adventure,12+,Commercial
126,crucible,Hwang Dong-hyeok,2011-09-22,Theatrical Release,Feature,KR,644,35566854800,4662822,10141606500,1267508,Drama,18+,Commercial
127,All About My Wife,Min Kyu-dong,2012-05-17,Theatrical Release,Feature,KR,563,34222160500,4598583,11547286500,1475165,Comedy,15+,Commercial
128,Bad Guys: The Movie,Son Yong-ho,2019-09-11,Theatrical Release,Feature,KR,1511,39560195124,4573902,8008441184,905239,Crime,15+,Commercial
129,Noryang: Sea of ​​Death,Kim Han-min,2023-12-20,Theatrical Release,Feature,KR,2196,45008253375,4573398,9861139267,970454,Historical,12+,Commercial
130,Pandora,Park Jeong-woo,2016-12-07,Theatrical Release,Feature,KR,1166,35965733064,4571142,7213559964,880999,Drama,12+,Commercial
131,Love song,Park Jeong-woo,2012-07-05,Theatrical Release,Feature,KR,759,32154766664,4513026,7819583000,1040068,Horror,15+,Commercial
132,iron man 2,Jon Favreau,2010-04-29,Theatrical Release,Feature,US,757,33161943100,4498335,10697867500,1370291,Sci-Fi,12+,Commercial
133,Steel Rain,Yang Woo-seok,2017-12-14,Theatrical Release,Feature,KR,1426,35477912466,4451336,8694723516,1060541,Action,15+,Commercial
134,Harry Potter and the Deathly Hallows Part 2,David Yates,2011-07-13,Theatrical Release,Feature,US,757,34507819000,4400298,11183806000,1361311,Fantasy,All Ages,Commercial
135,But save us from evil.,Hong Won-chan,2020-08-05,Theatrical Release,Feature,KR,1998,38554527990,4352669,8906277620,984042,Crime,15+,Commercial
136,Hunt,Lee Jung Jae,2022-08-10,Theatrical Release,Feature,KR,1625,44573032153,4350029,10985286495,1052205,Action,15+,Commercial
137,X-Men: Days of Future Past,Bryan Singer,2014-05-22,Theatrical Release,Feature,US,1056,34654558766,4313871,11315080666,1345720,Action,12+,Commercial
138,miss,Park Chan-wook,2016-06-01,Theatrical Release,Feature,KR,1171,35114332791,4277071,10881501871,1283972,Thriller,18+,Commercial
139,Guardians of the Galaxy: Volume 3,James Gunn,2023-05-03,Theatrical Release,Feature,US,1819,44355754061,4208993,13547092538,1235431,Action,12+,Commercial
140,The Amazing Spider-Man 2,Mark Webb,2014-04-23,Theatrical Release,Feature,US,1312,34869056800,4168350,10562832700,1187974,Action,12+,Commercial
141,suspect,Won Shin Yeon,2013-12-24,Theatrical Release,Feature,KR,807,30037161000,4131248,7563772000,997760,Action,15+,Commercial
142,Introduction to Architecture,Lee Yong-ju,2012-03-22,Theatrical Release,Feature,KR,593,30219800500,4110645,11003948000,1431173,Romance,12+,Commercial
143,Dancing Queen,Lee Seok-hoon,2012-01-18,Theatrical Release,Feature,KR,534,30129259500,4057546,8223006000,1055086,Comedy,12+,Commercial
144,Mission Impossible: Dead Reckoning PART ONE,Christopher McQuarrie,2023-07-12,Theatrical Release,Feature,US,2437,40426400113,4021778,11155001710,1067176,Action,15+,Commercial
145,The conman,Jang Chang-won,2017-11-22,Theatrical Release,Feature,KR,1314,31313568795,4018341,7524464445,931901,Crime,15+,Commercial
146,Planet of the Apes: Prelude to Counterattack,Matt Reeves,2014-07-10,Theatrical Release,Feature,US,922,31509793095,4002134,9067860195,1095630,Action,12+,Commercial
147,Tazza - Hand of God,Kang Hyung-cheol,2014-09-03,Theatrical Release,Feature,KR,890,32267244827,4001813,8495857527,1016403,Drama,18+,Commercial
148,Kung Fu Panda 3,"Yeo In-yeong, Alessandro Carloni",2016-01-28,Theatrical Release,Feature,US,1365,31340798156,3984812,8695148256,1045418,Animation,All Ages,Commercial
149,Captain America: The Winter Soldier,"Joe Russo, Anthony Russo",2014-03-26,Theatrical Release,Feature,US,1106,31710585385,3963220,10405400885,1237982,Action,15+,Commercial
150,Applause gangster,Jo Jin-gyu,2013-01-09,Theatrical Release,Feature,KR,599,28343986569,3893216,6808915069,894127,Comedy,15+,Commercial
151,Venom,Reuben Fleischer,2018-10-03,Theatrical Release,Feature,US,1308,34100211207,3888096,9452036857,1026909,Action,15+,Commercial
152,Detective K: The Lost Daughter of Nob,Kim Seok-yoon,2015-02-11,Theatrical Release,Feature,KR,811,30456879428,3872015,6908501928,845522,Historical,12+,Commercial
153,Firefighter,Kwak Kyung-taek,2024-12-04,Theatrical Release,Feature,KR,1414,36236489570,3849864,6523010380,671831,Drama,12+,Commercial
154,Reverse scale,Lee Jae-gyu,2014-04-30,Theatrical Release,Feature,KR,1054,29893297890,3849433,8426821290,1044988,Historical,15+,Commercial
155,Concrete Utopia,Taehwa Eom,2023-08-09,Theatrical Release,Feature,KR,1731,37388022232,3847066,8918633541,894336,Drama,15+,Commercial
156,Mad Max: Fury Road,George Miller,2015-05-14,Theatrical Release,Feature,US,799,32906364462,3842441,11443176062,1271954,Action,15+,Commercial
157,Namhansanseong,Hwang Dong-hyeok,2017-10-03,Theatrical Release,Feature,KR,1229,31067321992,3829891,7375553392,889444,Historical,15+,Commercial
158,peninsula,Yeon Sang-ho,2020-07-15,Theatrical Release,Feature,KR,2575,33071341280,3812080,8005831840,895163,Action,15+,Commercial
159,deadpool 2,David Leitch,2018-05-16,Theatrical Release,Feature,US,1576,34185664639,3784602,10757126939,1145250,Action,18+,Commercial
160,Male and female murder,Kim Tae-kyun,2018-10-03,Theatrical Release,Feature,KR,1177,32855895548,3772620,7777232448,862386,Crime,15+,Commercial
161,National Bankruptcy Day,Choi Kook-hee,2018-11-28,Theatrical Release,Feature,KR,1180,30891765837,3754983,7993870137,937443,Drama,12+,Commercial
162,Mummy,Alex Kurtzman,2017-06-06,Theatrical Release,Feature,US,1257,30504689978,3689325,7851059428,909202,Action,15+,Commercial
163,"Kim Ji-young, born 1982",Kim Do-young,2019-10-23,Theatrical Release,Feature,KR,1486,30305744310,3679019,8397712370,994852,Drama,12+,Commercial
165,Fast & Furious Presents: Hobbs & Shaw,David Leitch,2019-08-14,Theatrical Release,Feature,US,1311,32241767793,3657536,7717831533,839251,Action,12+,Commercial
166,Fast & Furious: The Extreme,F. Gary Gray,2017-04-12,Theatrical Release,Feature,US,1469,29981156348,3653238,7936210998,932027,Action,15+,Commercial
167,Your name is.,Makoto Shinkai,2017-01-04,Theatrical Release,Feature,JP,947,29248867156,3637122,9352306256,1124392,Animation,12+,Commercial
168,Mogadishu,Ryu Seung-wan,2021-07-28,Theatrical Release,Feature,KR,1688,34558297730,3613984,8498347010,887264,Action,15+,Commercial
169,intern,Nancy Myers,2015-09-24,Theatrical Release,Feature,US,496,28518443148,3610642,10024307548,1228273,Comedy,12+,Commercial
170,La La Land,Damien Chazelle,2016-12-07,Theatrical Release,Feature,US,727,30006844694,3597193,13131083194,1536629,Drama,12+,Commercial
171,Homecoming,Jo Jeong-rae,2016-02-24,Theatrical Release,Feature,KR,876,27245051990,3586523,6310471892,801788,Drama,15+,Commercial
172,real steel,Shawn Levy,2011-10-12,Theatrical Release,Feature,US,603,26566677000,3579666,8578776500,1090591,Action,12+,Commercial
173,A hand of god,Jo Beom-gu,2014-07-03,Theatrical Release,Feature,KR,794,28777712256,3562123,8104315156,965372,Crime,18+,Commercial
174,Moana 2,dave derrick jr,2024-11-27,Theatrical Release,Feature,US,1985,32796572730,3550372,6979719390,722716,Animation,All Ages,Commercial
175,Wonka,Paul King,2024-01-31,Theatrical Release,Feature,US,1753,33956553189,3531468,9833219001,981614,Fantasy,All Ages,Commercial
176,Coco,Lee Unkrich,2018-01-11,Theatrical Release,Feature,US,1177,27685479440,3510017,8547812240,1024250,Animation,All Ages,Commercial
177,broken arrow,Jeong Ji-young,2012-01-18,Theatrical Release,Feature,KR,453,25878110500,3450941,7619815000,972059,Drama,15+,Commercial
178,Go all the way,Kim Seong-hoon,2014-05-29,Theatrical Release,Feature,KR,645,27006007900,3450143,7567987400,927324,Action,15+,Commercial
179,Begin Again,John Carney,2014-08-13,Theatrical Release,Feature,US,213,27096673061,3427464,10856208161,1324469,Romance,15+,Art film
180,spy,Lee Seung-jun,2013-09-05,Theatrical Release,Feature,KR,785,24436429305,3423920,5483475805,733029,Action,15+,Commercial
181,That's my world,Choi Sung-hyun,2018-01-17,Theatrical Release,Feature,KR,862,27441213382,3417629,6258257482,759455,Comedy,12+,Commercial
182,moss,Kang Woo-seok,2010-07-14,Theatrical Release,Feature,KR,736,25856306126,3408144,8251736000,1044532,Drama,18+,Commercial
183,Toy Story 4,Josh Cooley,2019-06-20,Theatrical Release,Feature,US,1336,28757726040,3399913,9071405870,1009214,Animation,All Ages,Commercial
184,money,Park Nu-ri,2019-03-20,Theatrical Release,Feature,KR,1431,28869614062,3389035,7287586982,833513,Crime,15+,Commercial
185,Into saturation,Lee Jae-han,2010-06-16,Theatrical Release,Feature,KR,736,24217600897,3385706,6203066000,822965,Drama,12+,Commercial
186,Men in Black 3,Barry Sonnenfeld,2012-05-24,Theatrical Release,Feature,US,770,27301520070,3379762,9258393070,1068672,Action,12+,Commercial
187,About Time,Richard Curtis,2013-12-05,Theatrical Release,Feature,GB,568,24867023000,3375735,10488833000,1368822,Romance,15+,Commercial
188,The Villain,Lee Won-tae,2019-05-15,Theatrical Release,Feature,KR,1307,29128292150,3364079,6407047240,722563,Crime,18+,Commercial
